imputation,variant,term,coef,se,p_value,nobs,countries
20,country_dummies_pmm,log_gdp_per_capita,-1.375794129826287,2.566997216958467,0.5919898838127264,608,37
20,country_dummies_pmm,unemployment_rate_pc,-0.08908888727784997,0.08067523214611358,0.2694671702544341,608,37
20,country_dummies_pmm,poverty_or_social_exclusion_pc,0.22746415244854326,0.07109603957835399,0.0013771742419185161,608,37
20,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.3452920167669009,0.3554059113043225,0.3312781031517721,608,37
20,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.782134638348812,0.4359251318863172,0.07278206957336861,608,37
21,country_dummies_pmm,log_gdp_per_capita,-2.048833298666267,2.633213368861281,0.4365257386676157,608,37
21,country_dummies_pmm,unemployment_rate_pc,-0.09249310820839325,0.0835710158355231,0.2683974440482181,608,37
21,country_dummies_pmm,poverty_or_social_exclusion_pc,0.19802188755893874,0.08576537761667696,0.020950291267916147,608,37
21,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.670659969927907,0.3550590727983435,0.05890942419560858,608,37
21,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.4197728171015201,0.39159923912889655,0.28374477008201504,608,37
22,country_dummies_pmm,log_gdp_per_capita,-0.8615235484928878,2.224326248670848,0.6985201509765266,608,37
22,country_dummies_pmm,unemployment_rate_pc,-0.1198895718015289,0.0746503821091319,0.10827079558841292,608,37
22,country_dummies_pmm,poverty_or_social_exclusion_pc,0.27554076161007224,0.0675159844027575,4.481941411711495e-05,608,37
22,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.6722274179484867,0.28467067485946973,0.018205031594015483,608,37
22,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.34269209041564475,0.38516179862816236,0.37360797623562925,608,37
23,country_dummies_pmm,log_gdp_per_capita,-1.8493736494789836,2.464300495854204,0.4529741148359746,608,37
23,country_dummies_pmm,unemployment_rate_pc,-0.07641087329743607,0.08369078336672682,0.36123507534397903,608,37
23,country_dummies_pmm,poverty_or_social_exclusion_pc,0.18832843184186296,0.07993796575237123,0.018476286928034907,608,37
23,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.6766802412227175,0.4175737792160955,0.10512392125534509,608,37
23,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.5074562886566546,0.4874680594289666,0.2978736071375432,608,37
24,country_dummies_pmm,log_gdp_per_capita,-0.6815207139485231,2.2230449821104834,0.7591700701434911,608,37
24,country_dummies_pmm,unemployment_rate_pc,-0.13113336327280187,0.076290940930377,0.08564006637663382,608,37
24,country_dummies_pmm,poverty_or_social_exclusion_pc,0.28225363296857015,0.06605385130390587,1.9278807781190168e-05,608,37
24,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.5451056852866785,0.28002295164301877,0.051577135488977736,608,37
24,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.5012298858801423,0.2985297830200359,0.09315310123806005,608,37
25,country_dummies_pmm,log_gdp_per_capita,-0.3821836402409191,2.217695291564474,0.8631751900650071,608,37
25,country_dummies_pmm,unemployment_rate_pc,-0.11034980719864608,0.07961007677897479,0.16570762746900847,608,37
25,country_dummies_pmm,poverty_or_social_exclusion_pc,0.2859581955040847,0.06898690921857555,3.3965345354250966e-05,608,37
25,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.6080701417175194,0.3653732897595472,0.09606376778772828,608,37
25,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.4527816500486177,0.4952570464830191,0.3605930330185676,608,37
26,country_dummies_pmm,log_gdp_per_capita,-2.007165832686862,2.7349165349685185,0.46300732748845264,608,37
