estimand_id,outcome,estimand,family,rows,countries,years,Delta_row,Delta_country,Delta_year,Delta_weight,Delta_balance,TDI
medical_population_combined__mar_mi_full_target_fe,Medical population,MAR MI full-target FE,mi,608,37,18,0.0,0.0,0.0,0.0,0.0,0.0
medical_population_cost__unweighted_complete_case_fe,Medical cost,Unweighted complete-case FE,complete-case,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.3406041542272312,0.19032751636335768,0.34014990295010766
medical_population_cost__population_weighted_complete_case_fe,Medical cost,Population-weighted complete-case FE,weighted,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.49267965949877124,0.19032751636335768,0.3705650040044156
medical_population_cost__balanced_outcome_fe,Medical cost,Balanced-outcome FE,balanced,238,25,10,0.6085526315789473,0.32432432432432434,0.4444444444444444,0.40359197047821804,0.2002135327354242,0.39622538071227165
medical_population_cost__ipw_complete_case_fe,Medical cost,IPW complete-case FE,ipw,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.3563209535757947,0.19032751636335768,0.3432932628198203
medical_population_cost__mar_mi_full_target_fe,Medical cost,MAR MI full-target FE,mi,608,37,18,0.0,0.0,0.0,0.0,0.0,0.0
medical_population_distance__unweighted_complete_case_fe,Medical distance,Unweighted complete-case FE,complete-case,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.3406041542272312,0.19032751636335768,0.34014990295010766
medical_population_distance__population_weighted_complete_case_fe,Medical distance,Population-weighted complete-case FE,weighted,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.49267965949877124,0.19032751636335768,0.3705650040044156
medical_population_distance__balanced_outcome_fe,Medical distance,Balanced-outcome FE,balanced,238,25,10,0.6085526315789473,0.32432432432432434,0.4444444444444444,0.40359197047821804,0.2002135327354242,0.39622538071227165
medical_population_distance__ipw_complete_case_fe,Medical distance,IPW complete-case FE,ipw,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.3535268570367608,0.19032751636335768,0.34273444351201354
medical_population_distance__mar_mi_full_target_fe,Medical distance,MAR MI full-target FE,mi,608,37,18,0.0,0.0,0.0,0.0,0.0,0.0
medical_population_waiting__unweighted_complete_case_fe,Medical waiting,Unweighted complete-case FE,complete-case,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.3406041542272312,0.19032751636335768,0.34014990295010766
medical_population_waiting__population_weighted_complete_case_fe,Medical waiting,Population-weighted complete-case FE,weighted,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.49267965949877124,0.19032751636335768,0.3705650040044156
medical_population_waiting__balanced_outcome_fe,Medical waiting,Balanced-outcome FE,balanced,238,25,10,0.6085526315789473,0.32432432432432434,0.4444444444444444,0.40359197047821804,0.2002135327354242,0.39622538071227165
