variant,variable,country_group,period,source,n,mean,sd,min,p05,median,p95,max
baseline_pmm,gini_income,Western/Northern,All,Observed,155,27.778709677419346,2.2560448984886468,22.7,24.07,27.6,31.33,33.5
baseline_pmm,gini_income,Western/Northern,All,Imputed where missing,84,27.41309523809524,3.1092469844156048,21.2,23.245,26.85,32.655,36.2
baseline_pmm,gini_income,All,2015-onward,Observed,375,30.226399999999998,4.634400733690151,20.9,23.7,29.7,38.76000000000001,46.6
baseline_pmm,gini_income,All,2015-onward,Imputed where missing,2,26.9,3.3941125496954285,24.5,24.74,26.9,29.06,29.3
baseline_pmm,gini_income,All,pre-2015,Observed,34,30.658823529411766,4.553927219382144,22.7,24.475,30.45,36.544999999999995,41.2
baseline_pmm,gini_income,All,pre-2015,Imputed where missing,197,30.32182741116751,4.948724914175728,21.2,23.7,30.2,39.72,44.8
baseline_pmm,gini_income,Eastern/Southern,2015-onward,Observed,234,31.692307692307693,5.077318981732206,20.9,23.4,31.8,41.114999999999995,46.6
baseline_pmm,gini_income,Eastern/Southern,2015-onward,Imputed where missing,2,26.9,3.3941125496954285,24.5,24.74,26.9,29.06,29.3
baseline_pmm,gini_income,Eastern/Southern,pre-2015,Observed,20,32.78,4.4195260522272966,25.0,25.095000000000002,34.6,38.445,41.2
baseline_pmm,gini_income,Eastern/Southern,pre-2015,Imputed where missing,113,32.48407079646018,4.962908248261034,21.6,24.520000000000003,32.0,42.019999999999996,44.8
baseline_pmm,gini_income,Western/Northern,2015-onward,Observed,141,27.793617021276596,2.2180497471542573,23.2,24.1,27.6,31.3,33.5
baseline_pmm,gini_income,Western/Northern,2015-onward,Imputed where missing,0,,,,,,,
baseline_pmm,gini_income,Western/Northern,pre-2015,Observed,14,27.628571428571426,2.6991248072800795,22.7,23.22,27.65,31.21,31.6
baseline_pmm,gini_income,Western/Northern,pre-2015,Imputed where missing,84,27.41309523809524,3.1092469844156048,21.2,23.245,26.85,32.655,36.2
baseline_pmm,physicians_per_100k,All,All,Observed,431,358.74201856148494,72.4778073161557,213.12,240.42000000000002,350.88,467.22,564.69
baseline_pmm,physicians_per_100k,All,All,Imputed where missing,177,355.4989265536723,72.49746409734419,219.11,246.342,347.29,457.11199999999997,544.6
baseline_pmm,physicians_per_100k,Eastern/Southern,All,Observed,234,351.1383760683761,70.43039829051168,213.12,235.724,343.255,456.7305,536.52
baseline_pmm,physicians_per_100k,Eastern/Southern,All,Imputed where missing,135,351.64459259259263,73.64824034297332,219.11,241.678,343.29,457.228,544.6
baseline_pmm,physicians_per_100k,Western/Northern,All,Observed,197,367.7737563451776,74.00436779788623,216.16,249.88000000000002,366.84,494.794,564.69
baseline_pmm,physicians_per_100k,Western/Northern,All,Imputed where missing,42,367.88785714285706,68.0313524399476,232.15,255.25400000000002,378.38,455.8684999999999,544.6
baseline_pmm,physicians_per_100k,All,2015-onward,Observed,253,379.88268774703556,69.88732782390808,232.9,277.372,377.96,506.5719999999999,564.69
baseline_pmm,physicians_per_100k,All,2015-onward,Imputed where missing,124,366.8346774193548,74.15811791530732,219.26,251.3555,377.19,461.0915,544.6
baseline_pmm,physicians_per_100k,All,pre-2015,Observed,178,328.69376404494386,65.27591778607227,213.12,224.40300000000002,331.755,441.213,484.14
baseline_pmm,physicians_per_100k,All,pre-2015,Imputed where missing,53,328.9775471698114,61.298857371257505,219.11,226.994,323.82,432.772,484.14
baseline_pmm,physicians_per_100k,Eastern/Southern,2015-onward,Observed,138,369.10942028985505,67.80963479082013,232.9,271.81300000000005,351.68,462.9615,536.52
baseline_pmm,physicians_per_100k,Eastern/Southern,2015-onward,Imputed where missing,98,361.80551020408166,74.80010593358242,219.26,246.56900000000002,351.57,458.57849999999996,544.6
baseline_pmm,physicians_per_100k,Eastern/Southern,pre-2015,Observed,96,325.305,66.26911097542869,213.12,221.12,328.91499999999996,436.3575,449.83
baseline_pmm,physicians_per_100k,Eastern/Southern,pre-2015,Imputed where missing,37,324.73189189189196,63.9416556035369,219.11,219.26,312.11,421.78399999999993,484.14
baseline_pmm,physicians_per_100k,Western/Northern,2015-onward,Observed,115,392.8106086956522,70.4400472504369,267.95,285.554,391.81,523.1339999999999,564.69
baseline_pmm,physicians_per_100k,Western/Northern,2015-onward,Imputed where missing,26,385.79076923076923,69.82483809780453,252.01,262.35,400.685,497.295,544.6
baseline_pmm,physicians_per_100k,Western/Northern,pre-2015,Observed,82,332.6610975609756,64.27109983568921,216.16,232.27100000000002,336.44500000000005,450.209,484.14
baseline_pmm,physicians_per_100k,Western/Northern,pre-2015,Imputed where missing,16,338.795625,55.375122449074546,232.15,253.23999999999998,333.08000000000004,436.7425,441.4
baseline_pmm,hospital_beds_per_100k,All,All,Observed,522,488.3322030651341,170.60617111856195,187.41,246.412,452.68,779.202,880.59
baseline_pmm,hospital_beds_per_100k,All,All,Imputed where missing,86,480.6056976744187,171.759219699731,200.23,260.4175,447.135,767.855,880.59
baseline_pmm,hospital_beds_per_100k,Eastern/Southern,All,Observed,319,513.9358934169279,161.0171459005638,223.38,294.122,500.27,769.4579999999999,880.59
baseline_pmm,hospital_beds_per_100k,Eastern/Southern,All,Imputed where missing,50,499.7914,187.77999740262703,200.23,244.373,447.135,794.0574999999999,880.59
baseline_pmm,hospital_beds_per_100k,Western/Northern,All,Observed,203,448.0978325123153,177.7485343862696,187.41,232.89600000000002,419.4,796.2139999999999,812.86
baseline_pmm,hospital_beds_per_100k,Western/Northern,All,Imputed where missing,36,453.95888888888885,144.99586421250146,255.66,281.725,448.045,680.875,812.86
baseline_pmm,hospital_beds_per_100k,All,2015-onward,Observed,301,473.8936544850498,166.71570814193512,187.41,248.4,441.3,776.02,864.39
baseline_pmm,hospital_beds_per_100k,All,2015-onward,Imputed where missing,76,471.2250000000001,170.8822689339067,200.23,268.28499999999997,431.32,748.505,880.59
baseline_pmm,hospital_beds_per_100k,All,pre-2015,Observed,221,507.9973755656109,174.22576144549592,223.38,246.37,465.6,791.05,880.59
baseline_pmm,hospital_beds_per_100k,All,pre-2015,Imputed where missing,10,551.899,169.9781409116413,255.66,291.87149999999997,573.81,765.7855,812.86
baseline_pmm,hospital_beds_per_100k,Eastern/Southern,2015-onward,Observed,186,501.9666666666667,152.87241564292918,255.66,294.8725,455.515,728.25,864.39
baseline_pmm,hospital_beds_per_100k,Eastern/Southern,2015-onward,Imputed where missing,50,499.7914,187.77999740262703,200.23,244.373,447.135,794.0574999999999,880.59
baseline_pmm,hospital_beds_per_100k,Eastern/Southern,pre-2015,Observed,133,530.6748120300753,170.94381595434385,223.38,277.208,540.9,770.592,880.59
baseline_pmm,hospital_beds_per_100k,Eastern/Southern,pre-2015,Imputed where missing,0,,,,,,,
baseline_pmm,hospital_beds_per_100k,Western/Northern,2015-onward,Observed,115,428.4886086956522,178.4711182093321,187.41,215.876,374.78,777.76,800.25
baseline_pmm,hospital_beds_per_100k,Western/Northern,2015-onward,Imputed where missing,26,416.28961538461533,117.12965890775125,274.69,284.545,405.795,623.2575,671.75
baseline_pmm,hospital_beds_per_100k,Western/Northern,pre-2015,Observed,88,473.7235227272727,174.49331362903524,236.67,243.15800000000002,447.18,806.362,812.86
baseline_pmm,hospital_beds_per_100k,Western/Northern,pre-2015,Imputed where missing,10,551.899,169.9781409116413,255.66,291.87149999999997,573.81,765.7855,812.86
baseline_pmm,oop_health_expenditure_share_pc,All,All,Observed,444,20.654324324324325,8.783063619271722,8.39,10.1925,19.265,38.369499999999974,47.74
baseline_pmm,oop_health_expenditure_share_pc,All,All,Imputed where missing,164,25.867500000000003,10.936632728104565,8.39,10.0505,24.33,44.248999999999995,47.74
baseline_pmm,oop_health_expenditure_share_pc,Eastern/Southern,All,Observed,238,25.648949579831932,8.79034137127833,8.83,11.63,24.14,42.39099999999999,47.74
baseline_pmm,oop_health_expenditure_share_pc,Eastern/Southern,All,Imputed where missing,131,28.588396946564885,10.423724996135858,8.39,10.93,28.66,44.41,47.74
baseline_pmm,oop_health_expenditure_share_pc,Western/Northern,All,Observed,206,14.883834951456311,3.8662187176395095,8.39,9.265,13.985,21.64,24.07
baseline_pmm,oop_health_expenditure_share_pc,Western/Northern,All,Imputed where missing,33,15.066363636363636,4.151935405763963,9.28,9.456,13.76,23.026,25.47
baseline_pmm,oop_health_expenditure_share_pc,All,2015-onward,Observed,291,20.461477663230237,8.84367490017677,8.39,9.955,19.13,36.055,44.76
baseline_pmm,oop_health_expenditure_share_pc,All,2015-onward,Imputed where missing,86,26.50325581395349,10.73040325341262,8.39,11.44,26.805,42.96,45.11
