indicator_id,indicator_label,variable,included_n,excluded_n,included_mean,excluded_mean,smd,status,complete_case_rows,excluded_rows
medical_population_cost,Medical cost,physicians_per_100k,236,195,385.83025423728816,325.95830769230764,0.9067163673698581,estimated,282,326
medical_population_cost,Medical cost,hospital_beds_per_100k,265,257,481.1434339622641,495.74474708171203,-0.08559237293233964,estimated,282,326
medical_population_distance,Medical distance,outcome_value_pc,282,326,0.1400709219858156,0.2674846625766872,-0.5112240000048203,estimated,282,326
medical_population_distance,Medical distance,log_gdp_per_capita,282,322,10.308027703529472,9.867693747365994,0.6021002230965127,estimated,282,326
medical_population_distance,Medical distance,unemployment_rate_pc,282,274,6.863829787234042,10.481386861313869,-0.7551282975172088,estimated,282,326
medical_population_distance,Medical distance,poverty_or_social_exclusion_pc,282,93,20.99964539007092,28.39032258064516,-0.9026334029850999,estimated,282,326
medical_population_distance,Medical distance,government_health_expenditure_gdp_pc,282,220,6.372695035460993,6.165454545454546,0.12646170958774872,estimated,282,326
medical_population_distance,Medical distance,compulsory_health_financing_gdp_pc,282,162,6.54113475177305,6.496234567901235,0.025839056852435562,estimated,282,326
medical_population_distance,Medical distance,physicians_per_100k,236,195,385.83025423728816,325.95830769230764,0.9067163673698581,estimated,282,326
medical_population_distance,Medical distance,hospital_beds_per_100k,265,257,481.1434339622641,495.74474708171203,-0.08559237293233964,estimated,282,326
medical_population_waiting,Medical waiting,outcome_value_pc,282,326,1.353900709219858,1.0892638036809816,0.13802459267893655,estimated,282,326
medical_population_waiting,Medical waiting,log_gdp_per_capita,282,322,10.308027703529472,9.867693747365994,0.6021002230965127,estimated,282,326
medical_population_waiting,Medical waiting,unemployment_rate_pc,282,274,6.863829787234042,10.481386861313869,-0.7551282975172088,estimated,282,326
medical_population_waiting,Medical waiting,poverty_or_social_exclusion_pc,282,93,20.99964539007092,28.39032258064516,-0.9026334029850999,estimated,282,326
medical_population_waiting,Medical waiting,government_health_expenditure_gdp_pc,282,220,6.372695035460993,6.165454545454546,0.12646170958774872,estimated,282,326
medical_population_waiting,Medical waiting,compulsory_health_financing_gdp_pc,282,162,6.54113475177305,6.496234567901235,0.025839056852435562,estimated,282,326
medical_population_waiting,Medical waiting,physicians_per_100k,236,195,385.83025423728816,325.95830769230764,0.9067163673698581,estimated,282,326
medical_population_waiting,Medical waiting,hospital_beds_per_100k,265,257,481.1434339622641,495.74474708171203,-0.08559237293233964,estimated,282,326
