geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,physicians_per_100k,hospital_beds_per_100k,oop_health_expenditure_share_pc,gini_income,long_term_unemployment_rate_pc,log_gdp_per_capita,log_oop_health_expenditure_share,gdp_per_capita_eur_lag1,unemployment_rate_pc_lag1,poverty_or_social_exclusion_pc_lag1,physicians_per_100k_lag1,gdp_per_capita_growth,unemployment_rate_change,split
PL,2016,6.6,,11270.0,6.3,20.6,4.6,4.53,241.57,663.99,22.94,29.8,2.2,9.329899607033822,3.1755507001298278,11390.0,7.7,22.5,232.9,-0.0105355575065847,-1.4000000000000004,train
RO,2016,6.5,,8500.0,7.2,46.0,4.1,3.98,288.32,694.14,20.75,34.7,3.4,9.047821442478408,3.079613757534693,8090.0,8.4,44.5,282.3,0.0506798516687268,-1.2000000000000002,train
SE,2016,1.6,,46790.0,7.1,17.7,7.1,9.23,410.59,226.87,14.63,27.6,1.2,10.753424783860265,2.749192144433385,46160.0,7.5,18.2,399.82,0.0136481802426343,-0.4000000000000003,train
SI,2016,0.4,,19380.0,8.0,16.9,6.8,6.23,299.1,445.29,11.98,24.4,4.3,9.871996885444757,2.563409711275944,18660.0,9.0,17.7,280.17,0.0385852090032154,-1.0,train
AT,2017,0.2,,41760.0,5.9,17.1,8.3,7.74,512.1,731.53,20.11,27.9,2.3,10.63969422255652,3.0497468618602293,40690.0,6.5,17.2,503.72,0.0262963873187515,-0.5999999999999996,train
BE,2017,2.2,,38980.0,7.2,22.0,7.6,8.31,306.13,562.38,19.13,26.1,3.1,10.570803973061553,3.0022112396517,37810.0,7.9,22.2,304.08,0.030944194657498,-0.7000000000000002,train
BG,2017,2.1,,7720.0,7.2,38.0,4.9,4.22,444.26,791.46,42.19,40.2,4.0,8.951569643018821,3.7656089869726097,7070.0,8.6,41.0,439.23,0.0919377652050919,-1.3999999999999997,train
CH,2017,0.4,,74010.0,4.8,18.3,2.1,7.63,425.11,460.29,21.56,30.1,1.7,11.211955498191513,3.1161784266298582,75360.0,5.0,17.9,416.55,-0.0179140127388535,-0.2000000000000001,train
CY,2017,1.5,,23230.0,11.1,21.4,2.5,2.75,373.51,318.25,44.76,30.8,4.5,10.053199825764455,3.823410347071543,21930.0,13.0,22.6,360.48,0.0592795257637938,-1.9000000000000004,train
DE,2017,0.3,,40630.0,3.5,18.8,7.0,9.38,423.03,796.74,12.02,29.1,1.6,10.612261988981771,2.5664866367804238,39030.0,3.9,19.8,415.27,0.0409941070971047,-0.3999999999999999,train
DK,2017,1.0,,51060.0,5.8,17.8,8.7,8.49,408.04,251.82,13.69,27.6,1.2,10.840756690795477,2.6871669901857858,49270.0,6.0,17.5,394.52,0.036330424193221,-0.2000000000000001,train
EE,2017,11.8,,18480.0,5.8,23.3,5.1,4.76,344.88,458.02,24.81,31.6,2.0,9.824444345195674,3.2507620137305224,16860.0,6.8,23.1,343.29,0.096085409252669,-1.0,train
