geo,year,unmet_need_pc,log_gdp_per_capita,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,lag1_unmet_need_pc,lag1_log_gdp_per_capita,lag1_unemployment_rate_pc,lag1_poverty_or_social_exclusion_pc,lag1_government_health_expenditure_gdp_pc,lag1_compulsory_health_financing_gdp_pc,time_split
LV,2019,4.3,9.645364282325891,6.3,26.7,4.3,4.13,6.2,9.59014573330377,7.4,28.4,4.2,3.84,train
MT,2019,0.0,10.2722886762727,4.1,20.7,5.1,5.56,0.2,10.248494691607178,4.0,19.2,4.9,5.15,train
NL,2019,0.2,10.775617388624513,4.4,16.5,7.2,8.23,0.2,10.729634734557315,4.9,16.5,7.2,8.09,train
NO,2019,1.0,11.168461378419464,3.9,15.6,7.4,8.95,1.4,11.191479762365638,4.0,15.8,7.0,8.54,train
PL,2019,4.2,9.560292770154089,3.3,17.9,4.8,4.59,4.2,9.494014423030425,3.9,18.2,4.7,4.47,train
PT,2019,1.7,9.93837195438963,6.6,21.1,6.5,5.79,2.1,9.895455380838865,7.2,21.6,6.5,5.77,train
RO,2019,4.9,9.351839934249885,4.9,36.1,5.0,4.61,4.9,9.260082463870996,5.3,38.7,4.6,4.43,train
SE,2019,1.4,10.738785125200751,6.9,18.4,7.2,9.3,1.5,10.731384133647689,6.5,17.7,7.2,9.4,train
SI,2019,2.9,10.045421048424794,4.4,13.7,6.7,6.23,3.3,9.99606673382922,5.1,15.4,6.6,6.08,train
SK,2019,2.7,9.760771250334534,5.7,14.8,5.8,5.51,2.6,9.715952428689286,6.5,15.2,5.4,5.32,train
AT,2020,0.1,10.660782552919825,6.0,16.7,9.2,8.72,0.3,10.704816265940602,4.8,16.5,8.4,7.91,train
BE,2020,1.5,10.601373487443247,5.8,20.3,8.6,8.72,1.8,10.6389755735856,5.5,20.1,7.5,8.08,train
BG,2020,1.4,9.152711259139547,6.1,33.5,5.8,5.33,1.4,9.132378830506472,5.2,33.2,4.6,4.32,train
CH,2020,0.5,11.247787356953342,4.8,18.5,2.5,8.18,0.7,11.24739619715958,4.4,19.3,2.1,7.57,train
CY,2020,0.4,10.111720491114584,7.6,18.2,5.8,6.19,1.0,10.170073661693175,7.2,18.9,3.5,3.79,train
CZ,2020,0.4,9.951324881950288,2.6,11.5,9.2,7.92,0.5,9.9869091606752,2.0,12.1,7.4,6.36,train
DE,2020,0.1,10.645900974398993,3.6,20.4,8.3,10.69,0.3,10.669652825832646,2.9,17.3,7.2,9.67,train
DK,2020,1.7,10.888184317074344,5.6,16.8,9.3,9.02,1.8,10.878801624859744,5.0,17.3,8.7,8.53,train
EE,2020,13.0,9.950371138434978,6.9,22.8,6.5,5.76,15.5,9.975342989636555,4.5,23.7,5.5,4.95,train
EL,2020,6.5,9.658864969544794,17.6,27.4,6.6,5.8,8.1,9.756726171140723,17.9,29.0,5.7,4.99,train
ES,2020,0.4,10.079539496316489,15.5,27.0,7.6,7.78,0.2,10.189418091949102,14.1,26.2,6.1,6.4,train
FI,2020,5.4,10.662890528873138,7.7,14.9,7.7,7.67,4.6,10.673595774232204,6.8,14.5,7.2,7.18,train
FR,2020,2.7,10.442317372711717,8.0,19.0,9.0,10.22,1.2,10.493771097636834,8.4,18.8,8.1,9.26,train
HR,2020,1.5,9.471164990258082,7.4,20.5,8.7,6.47,1.4,9.556055475678573,6.6,20.8,7.3,5.56,train
HU,2020,0.7,9.57289797907307,4.1,19.4,6.3,5.12,1.0,9.629050706834368,3.3,21.1,4.5,4.29,train
