geo,year,oop_health_expenditure_share_pc
RO,2022,21.42
RO,2023,22.96
RS,2021,32.93
RS,2022,30.8
RS,2023,32.14
SE,2008,16.47
SE,2009,16.56
SE,2010,16.51
SE,2011,14.52
SE,2012,14.8
SE,2013,14.93
SE,2014,14.94
SE,2015,15.03
SE,2016,14.63
SE,2017,14.24
SE,2018,14.22
SE,2019,13.92
SE,2020,12.92
SE,2021,13.09
SE,2022,13.13
SE,2023,12.96
SE,2024,13.38
SI,2014,12.98
SI,2015,12.47
SI,2016,11.98
SI,2017,12.32
SI,2018,11.98
SI,2019,11.66
SI,2020,12.47
SI,2021,12.88
SI,2022,12.43
SI,2023,12.39
SI,2024,11.74
SK,2012,23.23
SK,2013,23.32
SK,2014,18.01
SK,2015,18.44
SK,2016,18.19
SK,2017,18.71
SK,2018,18.91
SK,2019,19.16
SK,2020,18.75
SK,2021,19.4
SK,2022,19.26
SK,2023,20.15
UK,2013,15.18
UK,2014,15.16
UK,2015,15.23
UK,2016,15.37
UK,2017,15.72
UK,2018,15.88
UK,2019,15.87
