indicator_id,dataset_code,care_type,barrier_type,denominator,reason_code,reason_label,geo,year,value_pc,status
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2021,0.2,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2022,0.2,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2023,0.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2024,0.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CY,2025,0.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2008,0.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2009,0.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2010,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2011,1.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2012,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2013,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2014,1.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2015,0.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2016,0.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2017,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2018,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2019,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2020,0.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2021,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2022,0.2,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2023,0.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2024,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,CZ,2025,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2008,2.2,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2009,2.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2010,1.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2011,1.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2012,1.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2013,1.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2014,1.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2015,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2016,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2017,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2018,0.2,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2019,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2020,0.1,b
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2021,0.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2022,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2023,0.2,e
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2024,0.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DE,2025,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2008,0.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2009,1.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2010,1.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2011,0.9,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2012,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2013,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2014,1.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2015,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2016,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2017,1.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2018,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2019,1.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2020,1.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2021,1.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2022,2.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2023,2.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2024,3.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,DK,2025,2.9,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2008,7.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2009,4.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2010,4.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2011,7.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2012,8.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2013,8.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2014,11.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2015,12.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2016,15.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2017,11.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2018,16.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2019,15.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2020,13.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2021,8.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2022,9.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2023,12.9,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2024,8.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EE,2025,7.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2008,5.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2009,5.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2010,5.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2011,7.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2012,8.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2013,9.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2014,10.9,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2015,12.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2016,13.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2017,10.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2018,8.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2019,8.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2020,6.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2021,6.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2022,9.0,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2023,11.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2024,12.1,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,EL,2025,11.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2008,0.4,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2009,0.5,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2010,0.3,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2011,0.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2012,0.7,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2013,0.8,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2014,0.6,
medical_population_combined,hlth_silc_08,medical,cost_distance_waiting,population,TXP_TFAR_WLIST,Too expensive or too far or waiting list,ES,2015,0.6,
