geo,year,unmet_need_pc,status
PL,2024,3.8,
PL,2025,2.9,
PT,2008,1.1,
PT,2009,3.3,
PT,2010,2.0,
PT,2011,1.4,
PT,2012,3.3,
PT,2013,3.0,
PT,2014,3.5,
PT,2015,3.0,
PT,2016,2.4,
PT,2017,2.3,
PT,2018,2.1,
PT,2019,1.7,
PT,2020,1.6,
PT,2021,2.3,
PT,2022,2.9,
PT,2023,2.8,
PT,2024,2.5,
PT,2025,2.5,
RO,2008,11.1,
RO,2009,8.9,
RO,2010,11.1,
RO,2011,12.2,
RO,2012,11.5,
RO,2013,10.9,
RO,2014,9.8,
RO,2015,9.4,
RO,2016,6.5,
RO,2017,4.7,
RO,2018,4.9,
RO,2019,4.9,
RO,2020,4.7,
RO,2021,4.4,
RO,2022,4.9,
RO,2023,5.2,
RO,2024,2.2,
RO,2025,2.9,
RS,2013,8.7,
RS,2014,7.4,
RS,2015,6.3,
RS,2016,4.5,
RS,2017,4.8,
RS,2018,5.8,
RS,2019,4.9,
RS,2020,4.0,
RS,2021,5.5,
RS,2022,3.3,
RS,2023,5.0,
RS,2024,6.8,
RS,2025,2.8,
SE,2008,2.6,
SE,2009,2.1,
SE,2010,1.9,
SE,2011,1.5,
SE,2012,1.5,
SE,2013,2.1,
SE,2014,1.7,
SE,2015,1.3,
SE,2016,1.6,
SE,2017,1.4,
SE,2018,1.5,
SE,2019,1.4,
SE,2020,1.5,
SE,2021,1.3,
SE,2022,1.8,
SE,2023,2.1,
SE,2024,2.2,
SE,2025,2.1,
SI,2008,0.2,
SI,2009,0.2,
SI,2010,0.1,
SI,2011,0.1,
SI,2012,0.1,
SI,2013,0.0,n
SI,2014,0.2,
SI,2015,0.2,
SI,2016,0.4,
SI,2017,3.5,
SI,2018,3.3,
SI,2019,2.9,
SI,2020,2.7,
SI,2021,4.8,
SI,2022,3.7,
SI,2023,3.8,
SI,2024,3.4,
SI,2025,3.2,
SK,2008,1.3,
SK,2009,1.7,
SK,2010,1.7,
SK,2011,2.2,
SK,2012,2.2,
SK,2013,1.9,
SK,2014,2.1,
SK,2015,2.1,
SK,2016,2.3,
SK,2017,2.4,
SK,2018,2.6,
SK,2019,2.7,
SK,2020,3.2,
SK,2021,2.9,
SK,2022,2.8,
SK,2023,3.2,
SK,2024,1.6,
SK,2025,1.1,
TR,2008,13.2,
TR,2009,14.9,
TR,2010,16.4,
TR,2011,12.2,
TR,2012,10.4,
TR,2013,10.5,
TR,2014,9.2,
TR,2015,6.8,
TR,2016,3.8,
TR,2017,2.6,
TR,2018,2.9,
TR,2019,3.0,
TR,2020,1.9,
TR,2021,2.3,
TR,2022,1.7,
TR,2023,1.2,
TR,2024,1.2,
TR,2025,0.7,
UK,2008,1.0,
UK,2009,1.2,
UK,2010,1.0,
UK,2011,1.2,
UK,2012,1.4,
UK,2013,1.6,
UK,2014,2.1,
UK,2015,2.8,
UK,2016,1.0,
UK,2017,3.3,b
UK,2018,4.5,
XK,2018,10.0,
XK,2019,5.2,
